gene	K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
204123_at	130.5	100.3	163	133.3	188.3	136.3	164	141	163.3	263
204124_at	108.3	95	142.3	158	161.3	108	135.5	151.3	144.3	174.8
204125_at	168.3	139	156.5	234.8	232.5	181.5	165.3	166.5	185.8	293.8
204126_s_at	129	102.3	158.3	170.5	172.3	128.3	156.3	152.3	171.8	253.8
204127_at	122.3	101.3	166.3	185	156.5	123.5	151	164.3	150.8	212
204128_s_at	86	81.5	110.5	98.8	129.3	96.3	115.8	115.8	146	195.3
204129_at	133.8	140	179.5	142.3	238.5	152.8	174.3	149.8	184.3	343
204130_at	131.3	95.3	127.8	141.8	155.3	115	154.3	124.8	154.3	310.3
204131_s_at	218	250.3	312.8	323.8	578	277	306.5	264.5	350.3	449.5
204132_s_at	118	94.3	169.8	177.3	276	116.8	168	174	190.8	271
204133_at	137.5	139.3	194.5	186.3	245.8	165.5	183.5	201	199.5	310.8
204134_at	154	110	188	229.3	219.3	155.5	176.8	190	255.8	318.5
204135_at	141.3	250	95.8	230.3	280	164	90.8	104	138	197.5
204136_at	143.5	132	172.5	178.5	185	152	168	175	164.8	249
204137_at	91.3	74.3	96.5	140.3	123.5	96	95.5	103	135.3	188.3
204138_s_at	245.8	175	328	391.8	410.8	250.5	318	341.8	332.3	442.3
204139_x_at	267	294.3	412	346.3	491	397.8	372.3	426.8	440	443
204140_at	115.5	80.3	223	140.3	144.8	122.8	180	204.3	199	279.8
204141_at	82.3	84.3	114	154	161.5	98.3	146	110.3	160.3	197.5
204142_at	174.3	67	90.5	77.3	230.8	148.8	115.3	98.8	121.8	232
204143_s_at	162.8	78.8	116.3	107.8	315.3	220.8	126.3	114	158.8	253.5
204144_s_at	135.5	122.5	212	175.3	194.5	149.8	197	197.3	185.8	261
204145_at	191.8	188.8	255.3	235.3	259.3	189.3	223.8	237.3	232.5	345
204146_at	79.3	59.3	70.3	79.3	78.3	75.3	90	94.8	96.5	140
204147_s_at	127.3	112.5	164.8	173.5	198.8	126	163	183	200.3	270
204148_s_at	107.3	97	144	183.3	190.8	119.5	145.8	138.5	177	259.8
204149_s_at	93.8	90.8	114.3	132	178.3	93.8	134	151	138	257.3
204150_at	156.8	110.8	178.8	201	208.8	154	206.5	188.3	213.5	293.8
204151_x_at	178.3	209.5	353.8	313.8	381.5	231.5	301.8	348.3	347	381.3
204152_s_at	186	138	386.3	264.3	459.3	151	371.3	331.5	323.3	498
204153_s_at	322.5	353.8	596.3	326	779.5	312.5	475	537.5	520.8	507.3
204154_at	88.8	75.3	100.3	106	112.8	88.3	100	96	117	172
204155_s_at	241.3	217.3	415.5	327	387.5	312.8	337.5	368.3	369	399.3
204156_at	162.5	137.5	255.8	284.3	315.8	220	252.5	311.8	314.3	309.3
