gene	K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
1007_s_at	281.8	254.15	407.25	384.4	542.8	282.65	302.4	377.4	436.5	403.55
1053_at	111.4	105.65	187.4	139.15	222.3	97.3	147.65	156.9	195.15	274.25
117_at	151.8	120.4	187.65	163.8	263.8	214.25	236.65	222.05	243.9	327.65
121_at	399.65	296.25	576.05	579.25	671.9	414.75	497.65	562.3	648.9	558.4
1255_g_at	94.25	74.05	96.4	119.65	100.25	79.9	110.3	99.5	107.15	172.75
1294_at	230.75	322.05	497.9	322.15	458.4	410.9	451.9	516.65	556.5	453.25
1316_at	140.75	92.05	159.05	187.3	196.05	113.4	147.55	162.4	173	272.8
1320_at	83.8	80.75	116.15	130.55	142.3	93.9	126.15	118.75	141.4	239.9
1405_i_at	77.55	73.15	122.75	107.05	121.65	85.75	121.15	102.55	307.05	209.05
1431_at	88.65	79.55	106.9	126.9	118	96.4	119.3	84.65	108.15	189.55
1438_at	172.3	150.65	270.15	259.75	296.9	184.4	245	231.65	284.25	338.8
1487_at	188.9	192.15	324.5	286.5	369.8	262.3	323.65	301.4	359.05	337.8
1494_f_at	217.65	181.15	297.25	281.3	291.15	168.4	252.4	252.75	283.8	320.9
1598_g_at	374.55	288.4	505.05	516.75	586.4	368.05	539.25	520.9	489.8	646.65
160020_at	295.4	211.8	361.15	409.8	468.4	250.75	333.8	318.15	354.65	470.5
1729_at	256.15	209.55	367.25	344.75	385.05	260.15	350.9	352.05	379	356.3
1773_at	117.8	101.75	149.25	146.65	177.9	129.5	155.4	142.3	168	276.4
177_at	125.15	115.4	156.9	181.15	177	148.25	153.25	150.25	187.4	219.55
179_at	382.15	411.05	717.9	634.5	833.25	440.5	683.3	661.55	730.75	821.75
1861_at	102.15	134.65	173.65	172.9	212.25	126.15	152.05	154.8	195.3	268.4
200000_s_at	522.5	561	934.5	749	1480	661	696	794.3	806	792.5
200001_at	488	609	1121.3	937.5	1292	685.3	1022.5	918.3	1070	1204.3
200002_at	1825.5	4122.5	4779.3	2634.3	4037.8	1720.3	5030	3749.8	4540.8	4048.3
200003_s_at	2983.3	5493	8008.5	5181.3	6277	3185	8023.8	5558	7500.5	6057.3
200004_at	879	1624	1939.3	1857.3	1957.5	1326	1973.5	1794.8	1759.5	1552.3
200005_at	526.3	736	1405.5	855.8	1478.3	667.5	1059.3	1140	1150	1210.5
200006_at	470.5	652.3	624.5	810.5	1012.5	566.3	558.8	618.5	882.3	963
200007_at	678.3	901.3	1345.8	1310	1359.5	752.3	833.5	1344.8	1714.3	1251
200008_s_at	438.8	546.3	1048.8	1348.5	1165	659.8	1104.8	984.8	959.3	1056.8
200009_at	890.3	1313	1694.5	1974.3	1770.8	1510.5	1088	1617.8	1520	1292.8
200010_at	3032.3	3132.8	6560.5	5755.5	4480.8	1565.3	5392.5	6271	6537.8	5044.3
200011_s_at	228.3	265.3	407.8	356.5	556	251.3	303	384	485.3	520.5
200012_x_at	4900.8	5938.8	7954.8	5941.3	5961.8	3203.8	8744.3	7066.3	7488.8	6463.5
200013_at	1915	3075.5	4737	3079.3	3401.8	2284	4813.8	3992.5	4480.5	3879.5
200014_s_at	314	463.3	644	484	609	344.5	477.8	497.8	679.5	540
200015_s_at	348.5	529.8	501.3	553	778.8	515	551	505	645.8	533
200016_x_at	2146.8	2613	3805.8	2492.3	3438	1304.3	3930.8	3889.3	4673.5	3115.8
200017_at	2550.3	2795.8	4847	3374.5	4340.5	2010.5	5187	4475.8	5298	4159.5
200018_at	3684.5	3385	7936.5	5143.8	5392	2945.3	6860.3	6241.5	6790.3	5280
200019_s_at	2802.8	4312	6190	4907.5	5676.8	3638.3	5975	4931	6076.8	5052
200020_at	293	324.3	472.3	446.3	630.8	402.3	639.8	485	506.8	443.8
200021_at	2406.3	3627.3	5962	2865.3	6444.3	2554.3	5556	5218.3	5707	5020
200022_at	2562	4748.3	6236.3	4157.8	4765.5	2881.5	6236	4791.8	5942.8	5290.3
200023_s_at	713.8	1380.5	1908.5	1334.3	1559.8	1041.8	1406.5	1417.5	1758.8	1577.8
200024_at	2366	3816.5	6697.5	4609.8	6433.3	2384	5835	5802.3	6520.5	5480.3
200025_s_at	3893.3	3917.5	7262.8	3839	5462	3000.3	8305.8	6272.5	6321.5	5804.5
200026_at	4353.3	5079.3	6372.3	5572.3	5427.8	3610.3	7859	6571.5	6463.3	5410.8
200027_at	297.5	377.5	451.5	400.3	634.3	442	457.3	488.8	609.3	480.8
200028_s_at	1079.5	1487.3	995.3	1724	1769.5	1160.5	825.5	993.5	988	880.3
200029_at	3272.3	5106.8	7362	4957.8	5800.5	3979.3	9476.8	5759.3	6206.8	5427.8
200030_s_at	900.5	1123	1777.8	1495	1945	932	1766.5	1522.5	1907.5	1619.3
200031_s_at	5103	6587	9747	7734.8	8614.5	6272.3	12007.5	8969.3	8715	8340
200032_s_at	4180	4264.5	6484.8	5388.8	5917	3125.8	7162.8	6477	5825.5	4985.3
200033_at	1440.5	1974.3	2519	1928.5	2232.8	1481.8	2505.8	2341.5	2631.3	1968
200034_s_at	2574.5	2354.3	3456.5	3503.5	2848	1908.5	3187	3516.8	3663.8	2291.8
200035_at	375	428.3	747.5	455.5	702.3	487.3	536.5	668.8	683.8	778.5
200036_s_at	1799.5	2688.3	4117.8	3051	3728.5	2056	4468.8	4139	3900	3602.3
200037_s_at	357.3	303.5	407.8	415	463.8	416.8	412	417	498	379.8
200038_s_at	2969.8	3969.3	5243.3	4682.8	4394.3	2507.8	5252.5	5069.5	5781	3697.8
200039_s_at	233.3	249.3	424.5	365.8	558.5	293.3	399.5	377.5	407.5	508.3
200040_at	570.3	684.8	945.3	761.5	1064.5	627.3	778.8	801.5	950.8	920.3
200041_s_at	828	976.3	1541.8	1073.5	2102	1024.8	1314.3	1635.3	1586.8	1003
200042_at	270	310.5	458.3	384.3	569	346.3	371.5	423.8	445	470.3
200043_at	458.3	359.5	892	701.8	1198	666.3	914	966.3	937.5	873.3
200044_at	414.8	358	728.5	572.8	815	438.3	601.5	641.8	755.5	636.8
200045_at	262.8	295.3	381	350	581.8	279.5	373.5	315.8	371.5	477
200046_at	323	405.8	531	609.5	809.3	350	556	479	411.3	516.3
200047_s_at	219	239.5	442.8	429	678	235.8	469.3	519	662.8	390.3
200048_s_at	710.3	990.3	1501.3	1125.5	1275.8	769.3	1170.8	1250.5	1361	1358.8
200049_at	237	195	379.5	352	402.5	254.3	440.8	421.5	396.5	477.3
200050_at	212	168.5	259.8	288	325.5	242.5	239.3	297.3	291	296.5
200051_at	151	177.8	215	190	242	179.8	194.3	214	208.5	265
200052_s_at	171.5	243.3	378.3	358	471.3	208.5	367	340	440.3	444.3
200053_at	422.8	351.5	550.3	539.8	628	434.8	515	487	635.3	635
200054_at	195.5	149.8	207.8	257.8	265.3	167.5	201	231.3	209	320.8
200055_at	459	539.5	874.5	762	852.5	564.3	629.5	772.3	869.5	939
200056_s_at	95.3	103.3	135.5	99.8	139.5	83.5	133.8	125.3	186.3	195.3
200057_s_at	996.5	1037	1930.8	1883.3	2373.5	1209.8	1546	1706.5	1683	1362
200058_s_at	368.5	632.8	874	578.5	1093.3	444	564.8	829	984.5	585
200059_s_at	1085.5	1555.3	2693.8	2166.8	3038.3	893.3	2172.8	2385.3	2572.5	1915.8
200060_s_at	455.8	568.5	836	763.5	988.3	556.5	733.3	718.3	951	820.8
200061_s_at	4053.8	4343.3	6827.8	5843	5672.8	4660.5	7224.5	6531.5	7171.3	5159
200062_s_at	5538.5	5995.3	8723.3	6865.8	7463.5	4533.3	9996.3	8176.5	6637	6643.8
200063_s_at	1645.8	1846.5	1995	1998	1845.8	1133.5	1906.5	2342.5	2321.8	1674
200064_at	1088.5	2099.5	2142.8	2212.8	3290	1337	1614.5	1990.3	2167.3	1800.8
200065_s_at	629.5	816.3	1262	1105.3	1406.8	621.3	1111	1145.3	1455.8	1220.3
200066_at	235	326.5	322.5	274.5	415.8	337.3	244.3	338.8	447.8	383.5
200067_x_at	585.5	475	939.3	758.8	870.5	521	899.3	1038	1085.8	813
200068_s_at	433.8	723.3	1051.8	827	1113.3	523	1123.5	1039.5	1246	1220.3
200069_at	157.8	193.3	263	210	395.5	190.8	238.5	293.8	270.3	233.3
200070_at	230.8	268.3	333	326	375.3	234	342.3	344.8	418	458
200071_at	147.8	139	270.3	177	315.3	143	256.8	210.5	338.8	288
200072_s_at	619.8	989.5	930.5	761.5	1257.3	534	724.5	862.5	1078.5	811
200073_s_at	171.5	420	562.3	478	628.8	304.8	428.5	556.5	708.3	564.3
200074_s_at	1722.8	1497	3202.3	2061	2311.5	1386.5	2542.3	2643.3	2993.5	2312.8
200075_s_at	161.5	310.8	382.8	270.5	342.5	256	376	315	413.5	375
200076_s_at	261.8	303	455	342.3	496.5	325	330.5	349	418.3	478.8
200077_s_at	2109.5	2654.3	4175.5	2996.5	4749.5	2075.3	3903.8	3730.5	4096	3395.8
200078_s_at	255.3	471.8	579.3	437	863.5	408.8	699	613.8	764	539.8
200079_s_at	508.5	570	602	635.3	729.5	465.5	542	539.5	583	796.8
200080_s_at	951.3	1260	2343.3	1638	2480.3	1459	3076.8	2670.5	2513.5	1686.3
200081_s_at	4280.8	5111.8	6914	6494.8	6174.5	3700	7030.5	6779.3	6934.8	5296.3
200082_s_at	2889.8	3452.3	5594.5	4299.3	4172	2777.5	5808.8	4837	5185.5	4147.3
200083_at	378.3	453.3	760.5	466.5	897	444.5	492.3	600.8	739.5	614.3
200084_at	330	421.5	548.8	446	662.3	475.3	698.5	624.8	613	496.5
200085_s_at	342	556.3	568.8	575.5	738.8	388.3	602.3	525.5	706	716.5
200086_s_at	901.5	1011.8	1806.8	1380.5	1634	908	1477	1394.3	1518.3	1427
200087_s_at	335.3	383	571.8	450.5	697	308.3	497.8	547.8	751.5	517
200088_x_at	4569	5837.8	9279.5	5415.8	6199.3	4070.3	10916.8	7446.5	8861.8	6222
200089_s_at	1592.5	1398.8	2191.3	2273.3	2199	1253.5	2148	2387.3	3334.5	1792
200090_at	456.5	559.8	553	417.8	712.5	493.3	529.3	546.8	602	519.3
200091_s_at	1452	1920	3051	1866.3	1865	1679.5	3133.8	2542.5	3327.5	2181
200092_s_at	2288.5	2539.8	3488.3	3177	3902.8	2467.5	4798.3	4279	4905.3	3250.8
200093_s_at	378	570.5	892	714.5	920.8	424.5	909.3	793	928	955
200094_s_at	1413.8	2562.5	4721.3	3393	4686.3	2188	3249.3	3892.8	3385.8	3463
200095_x_at	8045.5	9964.3	12356.8	8997.5	10278	6990.3	15705	9953.8	10300.5	8022.3
200096_s_at	394.5	538	642.5	686.5	904.8	610.3	595.5	663.3	638.3	684.8
200097_s_at	554	578.3	1070	879.8	977	429	713.5	1385.8	1341.3	699.3
200098_s_at	444.5	674.5	905.8	658.3	1028.5	587.5	853.3	715.3	751.8	783.8
200099_s_at	4510.3	4237.3	6340.5	5662.5	5461	3084.3	6680.5	6066	5570.5	4312.3
200593_s_at	392.3	482.3	629.8	537.8	718.3	429.3	614.5	798.5	625.3	647
200594_x_at	921.5	1061	1210.3	1102.8	1446	1010	1088	1431.3	1184	1053.8
200595_s_at	197	276.8	336.3	301.5	300.5	292	320	346.5	387.8	374.3
200596_s_at	371.8	473.5	481.3	598.8	493	436.3	513	593	535.5	547
200597_at	152.3	179	151	219.5	206	123	203.8	217	285	275
200598_s_at	196.3	153.3	386.5	283.5	385.8	187.3	599.3	456	458	510.8
200599_s_at	354.3	267	655.8	397	662.3	316	994.8	864	857.8	668.8
200600_at	510.3	899.3	1442.8	1354.3	1865	632.8	1597.8	1457	1673	1371.5
200601_at	254.3	340.3	464.8	476.5	548.5	349.8	492.5	479.3	537.3	447
200602_at	73.3	59.3	103.3	73.3	143	78	105	86.3	155.8	177
200603_at	201.5	309.5	357	500.3	476.8	229	258.8	371.3	543	443.3
200604_s_at	180.3	133.3	344.8	494.5	470.3	164.3	359.8	391	316.3	410.3
200605_s_at	285.5	248	492.5	762.3	690.5	317.3	487.5	531.3	558	469
200606_at	94.5	73	295.3	124.8	115.8	96.3	218.3	305	296.8	258.8
200607_s_at	193.5	141.8	316.5	303	297.3	155.3	378.5	439	408.5	493.3
200608_s_at	187.5	216.5	318.8	217.8	304	192.5	302.8	387	469	313.5
200609_s_at	418	503.5	843.8	615	943.5	534	695	773.5	1015.5	841.3
200610_s_at	598.3	600.3	1104.3	798.5	744.8	504.8	874.8	1068.8	1191	1047.8
200611_s_at	366.3	414.8	858.3	776.5	1090.8	492.3	912	699.3	815	969.5
200612_s_at	272.5	230.8	299	385	494	282.8	273.8	298.8	323.3	399.5
200613_at	286	305	670.5	654	741.5	400.5	514.3	538.8	689.5	783
200614_at	416.3	408.5	516.3	508.8	663	615	614	534.8	542.5	533
200615_s_at	141.8	113	166.8	226	297.3	147	166.8	167.8	191.3	260.8
200616_s_at	195.3	133.3	210.8	269.8	229.5	167.5	200.5	178	208.3	376.5
200617_at	184.8	169.5	251.5	276.3	476	278.5	287.3	234	262.5	355
200618_at	360.8	366.5	462.3	568.3	724.5	429	442	450.5	530.8	577.8
200619_at	354	484.3	653.3	471.3	739.8	405.8	549.8	550.8	622	634
200620_at	360.3	425.5	516.5	462.8	699.3	439.5	587.3	545.8	665.3	579
200621_at	186	233	210	253.5	403	200.8	237	226.5	261.5	393.5
200622_x_at	183.5	177.5	349.5	340.5	401.8	197.3	407.5	353.8	357.3	459.8
200623_s_at	237.3	189.5	372	391.8	502.8	282.3	411	436.5	442.5	474
200624_s_at	487.3	565.3	788.5	826.5	885.8	524.8	1072.3	1012	1136.8	824
200625_s_at	418.3	624.3	904.5	793.5	947	706	1109.8	982	1184.3	886.8
200626_s_at	484.5	638	803.5	765	897	587	766.3	909.3	845	790
200627_at	782	541.8	813.5	982.8	1709.3	694.8	1041.3	1037	1009.5	663.5
200628_s_at	210.5	387	466	460.8	511.3	233.3	644.5	400.8	509	407.5
200629_at	216	574	439.3	464	329	190	605.5	275.8	485.3	396.5
200630_x_at	1169.3	605	1427.5	1342.3	1306	828.5	1269.3	1415.8	1328.5	925.3
200631_s_at	765.5	967.3	1247.8	912.3	1482	986.5	1108.3	1175	1259.3	1233.3
200632_s_at	204.3	231.3	306.3	291.3	398.8	257.3	338.5	291.3	356	412.5
200633_at	2910.5	4308.8	5268.5	4173.8	6277.8	3246.3	6507.3	4291	4853.5	4388.5
200634_at	681.8	1141.8	2260.5	1168.3	1861	876.3	2526	2098.3	2073.5	1934.5
200635_s_at	129.8	109	141	166.8	157.5	116.3	135	118.8	173.3	252.5
200636_s_at	113.3	100.3	135	150.8	153.3	118.5	138.3	124.5	136.3	202
200637_s_at	87.3	81.3	114	124.8	148.3	101.3	107.3	109.8	136.5	250.3
200638_s_at	544.3	1163.5	1465.8	977.3	1804.3	554.5	1781.8	1658.5	1987.8	1326.3
200639_s_at	830.3	593.5	1048.5	920.5	1566.5	597.8	958.5	1118.8	1433.5	1025
200640_at	1196.3	1520.5	2420	1973.3	2582.5	1680.8	2136.3	2658.5	2773.3	2737.8
200641_s_at	584.8	808.8	1877	1766.5	2079.5	407.8	1829	1994.8	1775.3	1829.5
200642_at	646.3	1118.8	907.3	997.8	1306.8	656.8	825.5	804	1012.8	1132.8
200643_at	207	188.3	277.8	254.5	363.5	224.8	302.3	261.8	286	445.8
200644_at	318	639	840.5	360	932.8	231.5	639.8	798.5	716.3	633.3
200645_at	737.8	1165.3	1638.3	1212.5	1937	948.8	1875.3	1437.8	1526.3	1418.5
200646_s_at	122.5	135	208.5	231.3	267	147.5	191.3	215.8	218	312
200647_x_at	509.5	787.5	1149.3	859	1491.5	572.3	897.5	603.5	1073.5	1285.5
200648_s_at	122.8	79.5	188	105.3	303.3	150.5	193.8	215	259.3	324.5
200649_at	259	296.5	383.3	359.3	553.3	299.3	345	406	416.3	504.3
200650_s_at	332.8	420.3	820.3	514.5	758.8	338	934.8	846.5	1091.3	997.3
200651_at	2025.8	3084.8	6463.5	4093	4573.3	2077.5	5004	4622.5	4919.5	4682.5
200652_at	517	803	981.3	683.8	1007.3	581.3	1006.5	793.8	1075.3	1098
200653_s_at	318.8	300	605	498.8	475.8	386.5	565.3	700.5	763	634.3
200654_at	355	541.3	771.3	508.8	941.8	429.8	822.8	654.3	892	680
200655_s_at	337.8	370.3	661.3	602.3	626.5	355.3	522.3	805	886	685.5
200656_s_at	122	161.3	282.5	236.5	396.8	138.3	289.3	265.5	408.8	324.3
200657_at	554.8	861.8	1894.5	844.8	1018	589.3	1342.3	1442.5	1798	1588
200658_s_at	131.5	185.8	193.3	219.8	285	152.3	168.8	171.5	230.5	267.3
200659_s_at	207	236.3	283.3	299.8	470	244.8	288	264.5	358.8	343.8
200660_at	158	110	228.5	221	229.5	185.3	260.5	249.5	291	453.3
200661_at	266.8	222.3	316	438.8	542.5	269	369.3	308.3	424.3	490.3
200662_s_at	252.8	291.3	521.5	381	398.8	251.5	481.3	443.5	639.3	574.5
200663_at	284.8	391.8	533.3	575.3	1095.8	307.5	596.3	448.8	622.5	596.5
200664_s_at	134.5	143.3	342.3	233.3	396.3	150.3	314.5	306.3	422.3	441.8
200665_s_at	77.8	71.3	94.3	101.5	97.5	81	110.5	88.3	167	199
200666_s_at	161	187	374.5	251	498.5	212	319	341.5	576.8	420
200667_at	327.8	437.5	664.3	550.3	597	442.3	603.5	644.8	611.3	672.5
200668_s_at	555.5	563.3	1150.3	873.3	1149.5	609.5	992.5	1193.8	1245.5	1104
200669_s_at	335.5	350.5	773.5	622	820.8	268.5	611	879	742.3	596
200670_at	186	207.8	452	268.5	556	175	507	337	531.3	470.3
200671_s_at	116.8	111.3	225.8	218	182.3	133.5	180	252.5	210.3	300.8
200672_x_at	257.8	194.8	383.5	415.5	428	287.5	478	512.3	423.5	418.3
200673_at	296.8	386.3	576.3	515.5	632.3	346.3	671.8	605.3	621	630
200674_s_at	5921.3	7672.5	10432	8024.8	7765.5	4683.8	11928	8118.8	8246.5	7227.8
200675_at	305.5	455	1069.3	674.8	918	447	1391.8	1217	992.8	1493.8
200676_s_at	150.8	152	182	208	290.5	173.3	166.8	172.5	186.5	272.8
200677_at	319	388	451.3	372	602	472.3	485.8	427.3	553.5	447
200678_x_at	396.5	393.5	712.5	696	1504	649.8	762.8	593.5	823.8	791.5
200679_x_at	530.3	448.3	953.8	932	810.3	487	789	976	840.8	785.8
200680_x_at	1061.3	1086.3	2515.8	2050.3	1900.3	1429	2425.3	2509	2692.8	2396.3
200681_at	1135.5	1331.8	982.3	1341	2518.8	577.8	662.5	859.5	847	719
200682_s_at	324	430.3	673.5	538.3	833.5	420.5	538	595.5	696.5	649.5
200683_s_at	212	246.8	282.5	289	499	236.3	244.5	294.8	304	343.8
200684_s_at	173.3	174	201	204.3	311.3	183.5	206.3	215	220	279
200685_at	98.8	114.8	138.3	115	195.5	113	150.3	176.3	227	247.8
200686_s_at	507.8	528.3	655	678.3	641	488.3	520	911.8	780	613.3
200687_s_at	216	205.5	267	264.3	347.3	234	226.5	252	287.3	351.8
200688_at	176	118.8	180.5	185.8	245.3	183.8	165.8	196	210	233.8
200689_x_at	5255.8	4690.3	7145	7076.5	7230	3545	8271.3	6328.5	6260.5	4629.5
200690_at	162.8	125	200	193.5	223.3	131.3	164	193	242.5	220
200691_s_at	208.3	231.3	373	343.8	437	319.5	344.5	364.8	396.3	392
200692_s_at	170.3	186.8	348	345.5	481	225.5	274.3	358.3	384.3	346
200693_at	714.8	621.8	1082	919.5	1196.3	621.3	984	934	1067	912.5
200694_s_at	386.3	310.3	743.5	659.5	966.5	497.3	500.3	645.3	698.8	624
200695_at	257.5	272	501.3	437.5	616.3	306	392.3	404.8	467.8	674
200696_s_at	141.3	125.5	226.3	210.5	209.8	142.5	265.3	210.3	267.8	351.3
200697_at	323.5	496.8	635.3	519.5	893.8	415.5	518	581.5	648.8	639.3
200698_at	157.5	117	146	183.3	302	157.8	160	168.8	177.8	241.8
200699_at	162.8	150.3	166.8	178.8	326.3	205.5	173.5	173.5	191	247.8
200700_s_at	237	268.5	377	354.5	562.8	173	411	343.5	475.8	325.8
200701_at	336.3	317.5	756.8	670.5	746.5	387.3	732.3	705.8	837.5	873.3
200702_s_at	341.5	165.3	389.3	476.3	494	234.3	342	318.5	301.3	349.5
200703_at	394	455	208.5	372.8	800.5	385.8	264.3	240	291.8	309.3
200704_at	561.3	746.5	643.8	809.5	1207.3	412.5	727.8	645.3	693.8	889.3
200705_s_at	2554.3	2739.5	4647.5	3120	4019.5	2385.8	4562.8	3681.8	4007.3	3034
200706_s_at	509.3	716.8	670	847.5	1144.8	381.8	592.5	565.8	815	642.8
200707_at	354.5	333.8	574.5	645.3	721	363.3	481.5	473	501.8	570.3
200708_at	196.5	271.3	278.8	304.3	495.3	263	291.5	319.8	332.5	435.3
200709_at	253	249.5	706.5	391.5	553.8	342.3	638.5	602	1108	847.8
200710_at	280.5	378	418.8	396.8	543.3	425.8	576.5	460.8	444	526.8
200711_s_at	262	293.5	448.5	414.5	466.5	255.3	464.8	536.5	463.8	463.3
200712_s_at	147.5	169.8	351	280.5	313.5	160.3	353.3	317.8	429.3	354
200713_s_at	415.5	412.5	879	919.3	852.8	431.5	995	842.3	983.5	785
200714_x_at	486.5	625.5	994.8	696.8	1140.5	751.8	1190.8	1008	989	980.8
200715_x_at	3032.3	4792	6859	4928.5	6118	2936	9053.3	5654.5	5240.8	5135
200716_x_at	9817.3	9174.3	12838.5	12081.5	12700	8304	15142	11159.5	10963.8	8710.5
200717_x_at	4274	5396.8	7154	5505	5719.8	3885.5	9834.8	7281.5	7433.3	5582.3
200718_s_at	761.5	1294	1144.8	1072.3	1889.8	831	1324.5	1449.3	1398	1159.8
200719_at	275.5	254.5	599.5	454.8	595.5	273.8	497	590	515	434
200720_s_at	137.5	143.8	257	228.5	332	158.5	272.8	230.3	264.3	410.3
200721_s_at	200	181	267.8	266.3	450.8	253.5	259	226	279.5	352
200722_s_at	189	163.3	307.3	306	401.5	221	282	303.8	342.8	400.5
200723_s_at	271.8	240.8	496.3	437.5	685.3	351.5	458.8	486.5	511.3	477.3
200724_at	124.5	110.3	164.3	150.8	194.5	137	175.8	151	162	250.3
200725_x_at	4522.5	7609.3	10459.8	6981.5	7745.3	5775.3	12450.5	8674.3	8887.8	7572.5
200726_at	589	836	1128.5	852.3	1391	662.3	1126.3	994.8	1069.3	1018.3
200727_s_at	254.3	171.3	453.3	572.5	330.8	241.3	372	484.5	322.5	435.5
200728_at	594.8	785.5	1352.3	1318	1157.5	853.3	906.5	1282.5	1674	1321.3
200729_s_at	238.3	252.8	569.8	548.3	523.8	289.3	484	649.5	931.3	802.5
200730_s_at	109.3	110	216.5	237.5	194.8	106.8	202.3	244.5	265.5	333
200731_s_at	147.8	133.5	320.8	332.8	217.3	121.3	250.8	328	365.8	392
200732_s_at	273.5	285.3	638.3	654.5	356.5	255.5	531	685	776.5	648.8
200733_s_at	111.3	91.3	152.5	146.3	164.3	85.3	155.3	154.5	220.8	213.5
200734_s_at	221.3	228	396.3	430	545.5	263.8	433	365.8	445	537.3
200735_x_at	2582.5	2889.8	4850.8	3719.5	4092	2594	5690.5	5604.3	4455	4696.8
200736_s_at	331	368.3	434.8	604.3	774.5	334.8	543.5	391.3	536.8	532
200737_at	238	280	452.8	343.5	473.5	226.3	438.5	429.5	453.8	474.3
200738_s_at	356	540.5	1074.8	556	1150	337	777.8	887.8	1268.5	830.8
200739_s_at	167.5	140.5	365.5	245	389.5	136.3	373.8	333.8	388.3	414
200740_s_at	356.5	467.8	831	449.5	786.8	281	760.3	708.5	966.3	829.5
200741_s_at	5631.5	5221.5	8524.8	6842.8	8015.3	5145.5	10553	7718	8468.3	4984.8
200742_s_at	351.3	223.3	653.8	579.8	1047	271.3	557	692	686.5	760
200743_s_at	442	532.3	879.8	879	1147	411	705.5	807.5	1001	797.3
200744_s_at	198	181	498.3	439.5	524	175.3	391.8	455.8	476.5	498.8
200745_s_at	488.8	330	1126	992.5	1168.5	428.3	679	861.5	954.8	931.3
200746_s_at	509	706.3	1216.3	928.5	1309	789.8	801.8	1066.5	1276.5	1008
200747_s_at	500	475.5	596.8	688.3	1101.3	623.5	537	599.3	564	568
200748_s_at	596.5	779	1996.5	775.8	1355.8	347	2080.3	1575.3	2634.8	2327.3
200749_at	116	127.3	187.5	167.5	181.3	147	173.3	188.3	238.8	222.8
200750_s_at	334.5	549.3	742	551.8	909.5	549.8	526.5	695	720.3	662.8
200751_s_at	138.8	212.3	438	414.5	540	198.5	313.3	427.3	566	565.5
200752_s_at	235.5	235.3	364.8	321.8	417.8	297.3	251.3	374.3	369.5	555.3
200753_x_at	232	259	493	349	587.3	258.8	411	476.3	565.8	480.5
200754_x_at	975.3	1693.3	2104.3	1664	2466.8	1614	1966	2273	2499.5	1442.3
200755_s_at	162	129	210	234.3	330	186.3	251	210.3	237.3	268.5
200756_x_at	182.8	128.3	221	263.3	287.3	183.3	256.3	228.8	240.8	341
200757_s_at	205.8	160.8	205.5	233.3	288.8	166.8	193.3	226.3	203.3	343.5
200758_s_at	219.5	231.3	321.3	330	546.8	267.8	317.8	324	381.8	410.3
200759_x_at	267.3	240.8	336.3	334.8	578	300.8	374.5	327.5	361	492
200760_s_at	284	389.5	664.3	670	916.3	431.5	717.8	739.5	684.3	793.8
200761_s_at	331.3	614.8	762.8	763.8	954.3	587.3	707.5	855.8	872.5	843.8
200762_at	95	332	157.3	443	171	306.5	168.8	197.3	231.8	364.8
200763_s_at	5314	5937.3	9382	7571.3	7699.3	4029.5	9799.5	6600	7601	7368.5
200764_s_at	161.3	150	242.8	183	252.3	159.5	198	209	257.5	287.3
200765_x_at	209	225.5	251	223.5	303	199.8	223.8	255.5	272	298
200766_at	101.8	127.8	187.5	169	240	120	212.5	217	228	319.3
200767_s_at	283.3	202	412.5	393.8	544.8	266.5	326.3	377.3	432.3	521.8
200768_s_at	256.5	473.3	431	413.5	721.8	357.8	303	392.5	440.8	423.3
200769_s_at	167.3	132.5	284.8	310.3	427	142	256.5	303.8	249.5	281
200770_s_at	155.8	118	255.5	221	241.3	155.3	221.3	223.8	238.8	367
200771_at	164.5	115	324.3	228	254.5	173	203.5	299.5	311.8	294.3
200772_x_at	1976.8	3286.8	5001.5	2618.3	2996.8	1978.8	3772.8	3712.3	3329.8	2637.3
200773_x_at	1162.5	1176	3074.3	1862.8	2483	985.8	2324.8	3070.8	3064	2478
200774_at	778.3	843.3	1679.3	1485.3	1927.8	938.5	1178.8	1217.8	1456	1097.5
200775_s_at	905	770.8	1479.5	1596	1874.5	780.8	1669.3	1742.5	1276.3	1058.5
200776_s_at	159.3	157	365.5	324.3	323.5	158.5	361.8	415.8	430.3	397.5
200777_s_at	212	245.3	300.5	273	295	240.5	316.3	316.5	370	411
200778_s_at	258	284	571.8	667.5	929.3	311.8	508.5	617	626.5	611.3
200779_at	714.5	1021.3	1439.8	967.5	1545.8	819.3	1799.8	1438	1585.5	1943.3
200780_x_at	4005.3	3436.8	5819.3	5753.8	6589	3590.8	4817	4333	4162	3577.3
200781_s_at	6329.3	7003.5	11051	7037.5	7817.3	5700.8	11856.3	9691.3	8999.3	7457
200782_at	294.3	250	390.3	416.3	545	303.8	495.3	394.3	405.5	475
200783_s_at	159.5	149	161.3	221.3	236.5	180	184.5	164	216	313.5
200784_s_at	188.3	130.5	234.8	240.3	243	169.5	250	233.3	255.3	475
200785_s_at	155.3	120	213.5	227.8	260.8	151.5	250.3	229	286	287.8
200786_at	261	304.5	480	404	407.8	348	404.3	431.8	454.3	582.5
200787_s_at	156.5	164.5	235	291.8	435.8	181	262.3	263.5	310.8	394.8
200788_s_at	278	288.3	397.5	377.5	593.8	334	410.5	373.5	405.8	583.3
